"DateTime";"Warm tapwater keuken water uur tabel [Energieregistratie- Water totaal] [m3]"
"2023-01-23 00:00:00";0
"2023-01-23 01:00:00";0
"2023-01-23 02:00:00";0,03
"2023-01-23 03:00:00";0
"2023-01-23 04:00:00";0,07
"2023-01-23 05:00:00";0
"2023-01-23 06:00:00";0
"2023-01-23 07:00:00";0,05
"2023-01-23 08:00:00";0,06
"2023-01-23 09:00:00";0,04
"2023-01-23 10:00:00";0,03
"2023-01-23 11:00:00";0,07
"2023-01-23 12:00:00";0,05
"2023-01-23 13:00:00";0,11
"2023-01-23 14:00:00";0,15
"2023-01-23 15:00:00";0,22
"2023-01-23 16:00:00";0,01
"2023-01-23 17:00:00";0,07
"2023-01-23 18:00:00";0,06
"2023-01-23 19:00:00";0,03
"2023-01-23 20:00:00";0
"2023-01-23 21:00:00";0
"2023-01-23 22:00:00";0
"2023-01-23 23:00:00";0
"2023-01-24 00:00:00";0
"2023-01-24 01:00:00";0
"2023-01-24 02:00:00";0,03
"2023-01-24 03:00:00";0
"2023-01-24 04:00:00";0,06
"2023-01-24 05:00:00";0
"2023-01-24 06:00:00";0
"2023-01-24 07:00:00";0,02
"2023-01-24 08:00:00";0,03
"2023-01-24 09:00:00";0,04
"2023-01-24 10:00:00";0,03
"2023-01-24 11:00:00";0,07
"2023-01-24 12:00:00";0,05
"2023-01-24 13:00:00";0,13
"2023-01-24 14:00:00";0,16
"2023-01-24 15:00:00";0,4
"2023-01-24 16:00:00";0,06
"2023-01-24 17:00:00";0,01
"2023-01-24 18:00:00";0,08
"2023-01-24 19:00:00";0,03
"2023-01-24 20:00:00";0
"2023-01-24 21:00:00";0
"2023-01-24 22:00:00";0
"2023-01-24 23:00:00";0
"2023-01-25 00:00:00";0
"2023-01-25 01:00:00";0
"2023-01-25 02:00:00";0,03
"2023-01-25 03:00:00";0
"2023-01-25 04:00:00";0,06
"2023-01-25 05:00:00";0
"2023-01-25 06:00:00";0
"2023-01-25 07:00:00";0,01
"2023-01-25 08:00:00";0,12
"2023-01-25 09:00:00";0,07
"2023-01-25 10:00:00";0,03
"2023-01-25 11:00:00";0,1
"2023-01-25 12:00:00";0,03
"2023-01-25 13:00:00";0,1
"2023-01-25 14:00:00";0,2
"2023-01-25 15:00:00";0,25
"2023-01-25 16:00:00";0,07
"2023-01-25 17:00:00";0,02
"2023-01-25 18:00:00";0,1
"2023-01-25 19:00:00";0,01
"2023-01-25 20:00:00";0
"2023-01-25 21:00:00";0
"2023-01-25 22:00:00";0
"2023-01-25 23:00:00";0
"2023-01-26 00:00:00";0
"2023-01-26 01:00:00";0
"2023-01-26 02:00:00";0,03
"2023-01-26 03:00:00";0
"2023-01-26 04:00:00";0,07
"2023-01-26 05:00:00";0
"2023-01-26 06:00:00";0
"2023-01-26 07:00:00";0,02
"2023-01-26 08:00:00";0,07
"2023-01-26 09:00:00";0,06
"2023-01-26 10:00:00";0,04
"2023-01-26 11:00:00";0,06
"2023-01-26 12:00:00";0,03
"2023-01-26 13:00:00";0,11
"2023-01-26 14:00:00";0,34
"2023-01-26 15:00:00";0,28
"2023-01-26 16:00:00";0,04
"2023-01-26 17:00:00";0,07
"2023-01-26 18:00:00";0,03
"2023-01-26 19:00:00";0,05
"2023-01-26 20:00:00";0
"2023-01-26 21:00:00";0
"2023-01-26 22:00:00";0
"2023-01-26 23:00:00";0
"2023-01-27 00:00:00";0
"2023-01-27 01:00:00";0
"2023-01-27 02:00:00";0,04
"2023-01-27 03:00:00";0
"2023-01-27 04:00:00";0,06
"2023-01-27 05:00:00";0
"2023-01-27 06:00:00";0
"2023-01-27 07:00:00";0
"2023-01-27 08:00:00";0,06
"2023-01-27 09:00:00";0,09
"2023-01-27 10:00:00";0,01
"2023-01-27 11:00:00";0,04
"2023-01-27 12:00:00";0,04
"2023-01-27 13:00:00";0,06
"2023-01-27 14:00:00";0,17
"2023-01-27 15:00:00";0,22
"2023-01-27 16:00:00";0,01
"2023-01-27 17:00:00";0,07
"2023-01-27 18:00:00";0,06
"2023-01-27 19:00:00";0
"2023-01-27 20:00:00";0
"2023-01-27 21:00:00";0
"2023-01-27 22:00:00";0
"2023-01-27 23:00:00";0
"2023-01-28 00:00:00";0
"2023-01-28 01:00:00";0
"2023-01-28 02:00:00";0,03
"2023-01-28 03:00:00";0
"2023-01-28 04:00:00";0,06
"2023-01-28 05:00:00";0
"2023-01-28 06:00:00";0
"2023-01-28 07:00:00";0
"2023-01-28 08:00:00";0
"2023-01-28 09:00:00";0
"2023-01-28 10:00:00";0
"2023-01-28 11:00:00";0
"2023-01-28 12:00:00";0
"2023-01-28 13:00:00";0
"2023-01-28 14:00:00";0
"2023-01-28 15:00:00";0
"2023-01-28 16:00:00";0
"2023-01-28 17:00:00";0
"2023-01-28 18:00:00";0
"2023-01-28 19:00:00";0
"2023-01-28 20:00:00";0
"2023-01-28 21:00:00";0
"2023-01-28 22:00:00";0
"2023-01-28 23:00:00";0
"2023-01-29 00:00:00";0
"2023-01-29 01:00:00";0
"2023-01-29 02:00:00";0,03
"2023-01-29 03:00:00";0
"2023-01-29 04:00:00";0,06
"2023-01-29 05:00:00";0
"2023-01-29 06:00:00";0
"2023-01-29 07:00:00";0
"2023-01-29 08:00:00";0
"2023-01-29 09:00:00";0
"2023-01-29 10:00:00";0
"2023-01-29 11:00:00";0
"2023-01-29 12:00:00";0
"2023-01-29 13:00:00";0
"2023-01-29 14:00:00";0
"2023-01-29 15:00:00";0
"2023-01-29 16:00:00";0
"2023-01-29 17:00:00";0
"2023-01-29 18:00:00";0
"2023-01-29 19:00:00";0
"2023-01-29 20:00:00";0
"2023-01-29 21:00:00";0
"2023-01-29 22:00:00";0
"2023-01-29 23:00:00";0
